Comparativo de custo para a ONG por volume de doacoes/mes;;;;
;;;;
PREMISSAS;;;;
Metodo;100% Pix (blocos A e B) / 100% cartao a vista (bloco C);;;
Ticket medio;R$ 50,00  (numero de doacoes = volume / 50);;;
Nossa comissao de plataforma;0% (BYOG - a ONG usa o gateway dela);;;
Gateway - referencia publica Pagar.me;Pix 1,19% + R$ 0,99 por doacao  /  Cartao a vista 4,39% + R$ 0,99;;;
Gateway - negociado (comum acima de ~R$ 10 mil/mes);Pix ~0,99% + R$ 0,00;;;
Mensalidade nossa;Inicial R$ 99  /  Essencial R$ 249  /  Crescimento R$ 549  (30 dias gratis);;;
Concorrentes;taxa "all-in" (plataforma + gateway juntos), referencia publica - CONFIRMAR;;;
;;;;
;;;;
VOLUME DE DOACOES POR MES;R$ 1.000;R$ 5.000;R$ 10.000;R$ 30.000
Numero de doacoes (ticket R$ 50);20;100;200;600
;;;;
;;;;
BLOCO A - CUSTO TOTAL MENSAL (taxa + mensalidade) - 100% PIX, GATEWAY DE REFERENCIA;;;;
Nos - plano Inicial (R$ 99);R$ 130,70;R$ 257,50;R$ 416,00;R$ 1.050,00
Nos - plano Essencial (R$ 249);R$ 280,70;R$ 407,50;R$ 566,00;R$ 1.200,00
Nos - plano Crescimento (R$ 549);R$ 580,70;R$ 707,50;R$ 866,00;R$ 1.500,00
Doare - plano gratuito (~6% + R$ 0,39);R$ 67,80;R$ 339,00;R$ 678,00;R$ 2.034,00
Vakinha (~6,4% + R$ 0,50);R$ 74,00;R$ 370,00;R$ 740,00;R$ 2.220,00
Kickante (~10%);R$ 100,00;R$ 500,00;R$ 1.000,00;R$ 3.000,00
apoia.se - recorrente (~12%);R$ 120,00;R$ 600,00;R$ 1.200,00;R$ 3.600,00
Benfeitoria / Catarse (~13% all-in);R$ 130,00;R$ 650,00;R$ 1.300,00;R$ 3.900,00
;;;;
;;;;
BLOCO A - % EFETIVO SOBRE O ARRECADADO;;;;
Nos - plano Inicial (R$ 99);13,07%;5,15%;4,16%;3,50%
Nos - plano Essencial (R$ 249);28,07%;8,15%;5,66%;4,00%
Nos - plano Crescimento (R$ 549);58,07%;14,15%;8,66%;5,00%
Doare - plano gratuito;6,78%;6,78%;6,78%;6,78%
Vakinha;7,40%;7,40%;7,40%;7,40%
Kickante;10,00%;10,00%;10,00%;10,00%
apoia.se;12,00%;12,00%;12,00%;12,00%
Benfeitoria / Catarse;13,00%;13,00%;13,00%;13,00%
;;;;
;;;;
BLOCO A - LIQUIDO REAL QUE FICA COM A ONG (volume - custo total);;;;
Nos - plano Inicial (R$ 99);R$ 869,30;R$ 4.742,50;R$ 9.584,00;R$ 28.950,00
Doare - plano gratuito;R$ 932,20;R$ 4.661,00;R$ 9.322,00;R$ 27.966,00
Vakinha;R$ 926,00;R$ 4.630,00;R$ 9.260,00;R$ 27.780,00
apoia.se;R$ 880,00;R$ 4.400,00;R$ 8.800,00;R$ 26.400,00
Benfeitoria / Catarse;R$ 870,00;R$ 4.350,00;R$ 8.700,00;R$ 26.100,00
Diferenca Nos Inicial vs Catarse (a mais para a causa);-R$ 0,70;+R$ 392,50;+R$ 884,00;+R$ 2.850,00
Diferenca Nos Inicial vs Doare gratuito;-R$ 62,90;+R$ 81,50;+R$ 262,00;+R$ 984,00
;;;;
;;;;
